OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
CALWR_WQX,California Department Of Water Resources,CALWR_WQX-D8144000,SANTA YNEZ R A SOLVANG,Other-Surface Water,,18060010,,,,,34.585,-120.1463,,1,ft,GPS-Unspecified,NAD83,350,ft,,,Other,UNKWN,US,06,083,,,,,,,,,STORET
CALWR_WQX,California Department Of Water Resources,CALWR_WQX-D8156500,CACHUMA RES NR SANTA YNEZ,Other-Surface Water,,18060010,,,,,34.588,-119.9765,,1,ft,GPS-Unspecified,NAD83,600,ft,,,Other,UNKWN,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314CACHLK,Lake Cachuma at marina doc,Reservoir,,18060010,,,,,34.5785,-119.957,,,,Unknown,WGS84,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314DDE,Canal Trib to Santa Ynez River @ W Central Ave,Other-Surface Water,Between Douglas & De Wolff,18060010,,,,,34.6615,-120.514,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314MCM,Miguelito Creek mouth @ treatment plant,Other-Surface Water,,18060010,,,,,34.6633,-120.479,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314MIG,San Miguelito Creek at W. North Avenue,River/Stream,,18060010,,,,,34.6535,-120.474,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314SAL,Salsipuedes Creek @ Santa Rosa Rd,River/Stream,,18060010,,,,,34.6218,-120.421,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314SYC,Santa Ynez River d/s Lake Cachuma at Highway 154,River/Stream,,18060010,,,,,34.588,-120.027,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314SYF,Santa Ynez River at Floradale Rd,River/Stream,,18060010,,,,,34.6721,-120.492,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314SYI,Santa Ynez River at Highway 101,River/Stream,,18060010,,,,,34.6062,-120.193,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314SYL,Santa Ynez River at Highway 246,River/Stream,,18060010,,,,,34.6439,-120.43,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314SYN,Santa Ynez River at 13th Street,River/Stream,"Sample site is located on Vandenberg Air force Base property, access permission required",18060010,,,,,34.6766,-120.553,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314SYP,Santa Ynez River at Paradise Road,River/Stream,,18060010,,,,,34.5462,-119.776,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314ZCALK1,Zaca Lake at Cabin 1 tree swing,Reservoir,,18060010,,,,,34.7785,-120.039,,,,Unknown,WGS84,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-314ZCALK2,Zaca Lake at old burned down lodge,Reservoir,,18060010,,,,,34.7791,-120.041,,,,Unknown,WGS84,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-Buellton_Industrial,"City of Buellton, Industrial",Other-Surface Water,,18060010,,,,,34.6086,-120.203,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
CEDEN,California State Water Resources Control Board,CEDEN-Solvang_Residential,"City of Solvang, Residential",Other-Surface Water,,18060010,,,,,34.6045,-120.122,,,,Unknown,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
EMAP_CS,Environmental Monitoring and Assessment Program,EMAP_CS-CA99-0025,Santa Ynez River,Estuary,Sq.kilometers-0.3585¶Hex-Size-0.86¶,18060010,,,,,34.6922222,-120.5952778,,,,GPS Carrier Phase Kinematic Relative Position,WGS84,0,ft,,,,Unknown,US,06,083,,,,,,,,,STORET
EMAP_CS_WQX,Environmental Monitoring and Assessment Program,EMAP_CS_WQX-CA99-0025,Santa Ynez River,Estuary,EMAP-West Coast/Moss Landing Marine Laboratory,18060010,,,,,34.692,-120.595,,,,GPS-Unspecified,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
NARS,EPA National Aquatic Resource Survey Data,NARS-WCAP99-0542,EL JARO CREEK,River/Stream,FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 55.0774km^2/Station Weight (km): 13.7637/IBI Score: 58.687/OE Taxa Loss: 0.87,18060010,,,,,34.55,-120.35,,,,Interpolation-Digital Map Source (Tiger),NAD27,146,m              ,,,Photogrammetric,NAVD88,US,06,083,,,,,,,,,STORET
NARS,EPA National Aquatic Resource Survey Data,NARS-WCAP99-0677,ALAMO PINTADO,River/Stream,FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 19.6765km^2/Station Weight (km): 13.7637/IBI Score: 79.92/OE Taxa Loss: 1.013,18060010,,,,,34.74,-120.05,,,,Interpolation-Digital Map Source (Tiger),NAD27,458,m              ,,,Photogrammetric,NAVD88,US,06,083,,,,,,,,,STORET
NARS,EPA National Aquatic Resource Survey Data,NARS-WCAP99-0779,COCHE CREEK,River/Stream,FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 8.0566km^2/Station Weight (km): 18.3516/IBI Score: 42.438/OE Taxa Loss: 0.997,18060010,,,,,34.66,-119.75,,,,Interpolation-Digital Map Source (Tiger),NAD27,853,m              ,,,Photogrammetric,NAVD88,US,06,083,,,,,,,,,STORET
NARS,EPA National Aquatic Resource Survey Data,NARS-WCAP99-0785,UNNAMED CREEK,River/Stream,FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 21.4386km^2/Station Weight (km): 13.7637/IBI Score: 2.836/OE Taxa Loss: 0.206,18060010,,,,,34.67,-120.51,,,,Interpolation-Digital Map Source (Tiger),NAD27,11,m              ,,,Photogrammetric,NAVD88,US,06,083,,,,,,,,,STORET
NARS,EPA National Aquatic Resource Survey Data,NARS-WCAP99-0796,SANTA CRUZ CREEK,River/Stream,FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  1/WATERSHED AREA is 2.4914km^2/Station Weight (km): 25.41/IBI Score: 65.876/OE Taxa Loss: 1.099,18060010,,,,,34.68,-119.79,,,,Interpolation-Digital Map Source (Tiger),NAD27,1146,m              ,,,Photogrammetric,NAVD88,US,06,083,,,,,,,,,STORET
NARS,EPA National Aquatic Resource Survey Data,NARS-WCAP99-0898,NOJOQUI CREEK,River/Stream,FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 39.1339km^2/Station Weight (km): 13.7637/IBI Score: 50.537/OE Taxa Loss: 0.987,18060010,,,,,34.59,-120.19,,,,Interpolation-Digital Map Source (Tiger),NAD27,129,m              ,,,Photogrammetric,NAVD88,US,06,083,,,,,,,,,STORET
NARS,EPA National Aquatic Resource Survey Data,NARS-WCAP99-1046,KELLY CREEK,River/Stream,FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  2/WATERSHED AREA is 8.9701km^2/Station Weight (km): 18.3516/IBI Score: 74.514/OE Taxa Loss: 0.859,18060010,,,,,34.53,-119.83,,,,Interpolation-Digital Map Source (Tiger),NAD27,315,m              ,,,Photogrammetric,NAVD88,US,06,083,,,,,,,,,STORET
NARS,EPA National Aquatic Resource Survey Data,NARS-WCAP99-1102,CACHUMA CREEK,River/Stream,FLOW is WADEABLE/SITE TYPE is EMAPPROB/Strahler Stream Order is  3/WATERSHED AREA is 12.5948km^2/Station Weight (km): 13.7637/IBI Score: 50.628/OE Taxa Loss: 1.331,18060010,,,,,34.69,-119.9,,,,Interpolation-Digital Map Source (Tiger),NAD27,643,m              ,,,Photogrammetric,NAVD88,US,06,083,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-CA99-0025,Santa Ynez River,River/Stream,"FRAME_SQ_K=""13.8373468114"";SqKilometers=""0.3585"";Strata=""0"";STRATA_ID=""CA99-003"";InclusionProb=""1.16279069767442"";Note=""See NCCA publications for description of fields stored in this comment field.""",18060010,,,,,34.69222,-120.59528,,100,m,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
